GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US02052,02052,ZCTA5 02052,147630,13348
8600000US02053,02053,ZCTA5 02053,109865,7969
8600000US02054,02054,ZCTA5 02054,97591,13092
8600000US02056,02056,ZCTA5 02056,138452,13161
8600000US02061,02061,ZCTA5 02061,114560,8123
8600000US02062,02062,ZCTA5 02062,83883,3444
8600000US02066,02066,ZCTA5 02066,110492,11277
8600000US02067,02067,ZCTA5 02067,129609,10496
8600000US02071,02071,ZCTA5 02071,105865,27451
8600000US02072,02072,ZCTA5 02072,75109,4468
8600000US02081,02081,ZCTA5 02081,95592,10366
8600000US02090,02090,ZCTA5 02090,140355,16254
8600000US02093,02093,ZCTA5 02093,99924,9324
8600000US02108,02108,ZCTA5 02108,115042,16694
8600000US02109,02109,ZCTA5 02109,117344,23290
8600000US02110,02110,ZCTA5 02110,120800,42345
8600000US02111,02111,ZCTA5 02111,39670,13258
8600000US02113,02113,ZCTA5 02113,86094,7615
8600000US02114,02114,ZCTA5 02114,86863,8738
8600000US02115,02115,ZCTA5 02115,35274,5268
8600000US02116,02116,ZCTA5 02116,100674,6021
8600000US02118,02118,ZCTA5 02118,59589,8491
8600000US02119,02119,ZCTA5 02119,30278,3311
8600000US02120,02120,ZCTA5 02120,29592,2958
8600000US02121,02121,ZCTA5 02121,26313,1291
8600000US02122,02122,ZCTA5 02122,53103,3980
8600000US02124,02124,ZCTA5 02124,50044,3476
8600000US02125,02125,ZCTA5 02125,49683,3911
8600000US02126,02126,ZCTA5 02126,47902,2591
8600000US02127,02127,ZCTA5 02127,85336,5059
8600000US02128,02128,ZCTA5 02128,52152,2183
8600000US02129,02129,ZCTA5 02129,90674,7494
8600000US02130,02130,ZCTA5 02130,79419,4449
8600000US02131,02131,ZCTA5 02131,68655,4256
8600000US02132,02132,ZCTA5 02132,91273,4724
8600000US02134,02134,ZCTA5 02134,47485,4417
8600000US02135,02135,ZCTA5 02135,57330,2463
8600000US02136,02136,ZCTA5 02136,62114,2724
8600000US02138,02138,ZCTA5 02138,84305,5544
8600000US02139,02139,ZCTA5 02139,82953,4941
8600000US02140,02140,ZCTA5 02140,85417,7976
8600000US02141,02141,ZCTA5 02141,73322,6654
8600000US02142,02142,ZCTA5 02142,113950,24135
8600000US02143,02143,ZCTA5 02143,80961,4694
8600000US02144,02144,ZCTA5 02144,93234,5057
8600000US02145,02145,ZCTA5 02145,62752,6294
8600000US02148,02148,ZCTA5 02148,60045,3083
8600000US02149,02149,ZCTA5 02149,52427,3094
8600000US02150,02150,ZCTA5 02150,49643,3440
8600000US02151,02151,ZCTA5 02151,51468,2008
8600000US02152,02152,ZCTA5 02152,62997,5776
8600000US02155,02155,ZCTA5 02155,79572,3063
8600000US02163,02163,ZCTA5 02163,51500,19283
8600000US02169,02169,ZCTA5 02169,62157,2149
8600000US02170,02170,ZCTA5 02170,71065,7056
8600000US02171,02171,ZCTA5 02171,73280,5522
8600000US02176,02176,ZCTA5 02176,87712,6572
8600000US02180,02180,ZCTA5 02180,83783,6346
8600000US02184,02184,ZCTA5 02184,85863,4364
8600000US02186,02186,ZCTA5 02186,122516,5558
8600000US02188,02188,ZCTA5 02188,75129,6629
8600000US02189,02189,ZCTA5 02189,51653,7049
8600000US02190,02190,ZCTA5 02190,80139,4598
8600000US02191,02191,ZCTA5 02191,70731,4579
8600000US02199,02199,ZCTA5 02199,99250,47715
8600000US02203,02203,ZCTA5 02203,-,**
8600000US02210,02210,ZCTA5 02210,155313,24026
8600000US02215,02215,ZCTA5 02215,40115,5620
8600000US02301,02301,ZCTA5 02301,44873,2290
8600000US02302,02302,ZCTA5 02302,61527,3051
8600000US02322,02322,ZCTA5 02322,68021,7999
8600000US02324,02324,ZCTA5 02324,85992,7361
