zipcode,median_income
ZCTA5 02575,85469
ZCTA5 02576,82029
ZCTA5 02584,0
ZCTA5 02601,43052
ZCTA5 02630,81833
ZCTA5 02631,67569
ZCTA5 02632,71412
ZCTA5 02633,62824
ZCTA5 02635,63712
ZCTA5 02637,140179
ZCTA5 02638,69375
ZCTA5 02639,47600
ZCTA5 02641,0
ZCTA5 02642,57402
ZCTA5 02643,0
ZCTA5 02644,93800
ZCTA5 02645,76221
ZCTA5 02646,66844
ZCTA5 02647,78050
ZCTA5 02648,76364
ZCTA5 02649,70995
ZCTA5 02650,70771
ZCTA5 02651,0
ZCTA5 02652,60662
ZCTA5 02653,49934
ZCTA5 02655,68684
ZCTA5 02657,42228
ZCTA5 02659,52118
ZCTA5 02660,52650
ZCTA5 02663,60568
ZCTA5 02664,52696
ZCTA5 02666,62439
ZCTA5 02667,47115
ZCTA5 02668,95957
ZCTA5 02669,104653
ZCTA5 02670,54375
ZCTA5 02671,45250
ZCTA5 02672,0
ZCTA5 02673,66518
ZCTA5 02675,64063
ZCTA5 02702,99120
ZCTA5 02703,69732
ZCTA5 02713,49375
ZCTA5 02715,99830
ZCTA5 02717,81335
ZCTA5 02718,89113
ZCTA5 02719,60407
ZCTA5 02720,45382
ZCTA5 02721,32641
ZCTA5 02723,34810
ZCTA5 02724,33853
ZCTA5 02725,64028
ZCTA5 02726,69930
ZCTA5 02738,75449
ZCTA5 02739,84489
ZCTA5 02740,36105
ZCTA5 02743,70175
ZCTA5 02744,32221
ZCTA5 02745,52777
ZCTA5 02746,28351
ZCTA5 02747,72759
ZCTA5 02748,63887
ZCTA5 02760,82442
ZCTA5 02762,92014
ZCTA5 02763,116174
ZCTA5 02764,80500
ZCTA5 02766,95221
ZCTA5 02767,86124
ZCTA5 02769,90394
ZCTA5 02770,102616
ZCTA5 02771,82094
ZCTA5 02777,77632
ZCTA5 02779,95186
ZCTA5 02780,51820
ZCTA5 02790,79778
ZCTA5 02791,90781
ZCTA5 02802,48404
ZCTA5 02804,74289
ZCTA5 02806,116935
ZCTA5 02807,73952
ZCTA5 02808,72589
ZCTA5 02809,62909
ZCTA5 02812,106705
ZCTA5 02813,73203
ZCTA5 02814,89750
ZCTA5 02815,230052
ZCTA5 02816,64407
ZCTA5 02817,86650
ZCTA5 02818,90739
ZCTA5 02822,80962
ZCTA5 02825,79364
ZCTA5 02826,67725
ZCTA5 02827,86708
ZCTA5 02828,75063
